,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Poisoning,Status
93,Lebanon,74.2,65.3125,1,1.78533333333333,333.047945132063,70.5,295.1875,55.3375,1,71.25,6.67066666666667,70.5,0.1,4696.1923789375,2489104.5,4.76875,4.71875,0.4696875,13.74375,0.84,Developing
94,Lesotho,48.78125,550.0625,4.5,2.08666666666667,82.1189129000625,73.2307692307692,266.6875,25.2375,6.3125,67.9375,7.60733333333333,79.4375,22.96875,794.5230103125,1200527.5625,7.1875,7.06875,0.4568125,10.65625,0.54,Developing
95,Liberia,57.525,246.9375,10.6875,3.258,25.27170667675,49.125,705.3125,19.9875,14.75,59.4375,6.844,40.6875,2.28125,246.28174803125,2788942.625,7.8375,7.7625,0.3894375,9.86875,5.97,Developing
96,Libya,72.4875,139.6875,2.1875,0.01,180.0749890925,96.3125,547.3125,54.8375,2.5,96.5,3.728,96.5,0.1,4598.16197541667,,5.6,5.43125,0.7408125,14.79375,1.76,Developing
97,Lithuania,72.80625,117.25,0,12.6326666666667,1015.75384256375,94.75,14.9375,49.23125,0,88.8125,6.54733333333333,94.25,0.1,9007.4586225,1926212.125,2.9375,2.96875,0.8066875,16.1,0.95,Developed
98,Luxembourg,80.78125,67.5625,0,11.922,8177.5763413625,92.375,1.125,47.825,0,98.0625,7.54733333333333,98.9375,0.1,53257.012740625,265276.375,0.95,0.9125,0.878125,13.6375,3.9,Developed
99,Madagascar,62.74375,228.8125,34.9375,0.82,43.25315657175,63.3571428571429,9576.1875,14.76875,51.125,59.9375,4.71066666666667,61.25,0.525,314.04132958125,10950267.4375,7.86875,7.78125,0.4566875,9.33125,0.35,Developing
100,Malawi,49.89375,424.4375,37.125,0.919333333333333,25.8497064568125,89.5714285714286,7559.4375,16.78125,58.75,89.0625,6.65866666666667,83.625,16.68125,237.50404201875,6700263.0625,7.11875,6.9875,0.410625,10.23125,2.78,Developing
101,Malaysia,73.75625,118.5625,3.3125,0.490666666666667,248.88502812,96,1453.125,29.16875,4.125,96.375,3.74866666666667,96.4375,0.1,4904.9389918125,11529155.8125,8.6125,8.40625,0.749125,12.5625,2.14,Developing
102,Maldives,75.5375,83.1875,0,1.40733333333333,626.4998210525,97.875,157.875,19.29375,0,97.875,8.23666666666667,97.875,0.1,3818.2969615625,3334.25,14.19375,14.2875,0.638625,12,0.6,Developing
103,Mali,54.9375,202.125,55.9375,0.438,48.981176981125,67.1538461538462,823.3125,17.2125,96.5,62.5,6.52266666666667,67,1.825,530.5121701,5781492.875,7.075,6.35,0.3651875,6.43125,0.051,Developing
104,Malta,80.3625,60.75,0,7.13,1181.43178558125,80.5384615384615,2.1875,66.18125,0,89.4375,8.59666666666667,89.3125,0.1,10114.797943125,224742.4375,0.75,0.7125,0.8111875,14.30625,3.19,Developed
106,Mauritania,62.8,159.9375,7.8125,0.013333333333333,31.7031471238125,57.6363636363636,815.9375,22.475,11.9375,63.0625,3.93533333333333,60.125,1.1875,635.04960900625,1262286.1875,6.48125,6.81875,0.4730625,7.31875,0,Developing
107,Mauritius,72.7125,163.5625,0,2.90666666666667,422.239524298938,96.1875,54.3125,25.98125,0,96.5,4.52466666666667,96.3125,0.10625,5299.579823625,663332.875,7.46875,7.4125,0.722625,13.53125,1.55,Developing
108,Mexico,75.71875,111.0625,39.625,5.114,465.3274957875,94.4375,11,51.41875,46.5,95.0625,6.074,95,0.1,5179.33080675,27585265.1875,1.73125,1.66875,0.728875,12.325,0.98,Developing
109,Micronesia (Federated States of),68.2,154.0625,0,2.14533333333333,0,75.4375,8.75,65.15,0,82.375,11.056,81.875,0.1,,,0.2125,0.20625,0.5868125,10.4,0.54,Developing
111,Mongolia,65.8875,222.125,1.5625,2.354,126.378363989375,97.4375,2079.25,39.79375,1.9375,97.5625,5.18066666666667,97.375,0.1,1984.6880227125,2037470.6875,2.28125,2.3875,0.6620625,12.66875,0.9,Developing
112,Montenegro,74.5,92.75,0,2.58428571428571,455.049824020625,48.5,0.625,50.4875,0,84.3,7.41933333333334,84.5,0.1,4676.5142775,329668.1875,2.1375,2.1875,0.58375,10.71875,2.85,Developing
113,Morocco,72.15625,95.1875,21.375,0.518666666666667,102.98965830775,87.25,2593,48.61875,24.875,96.9375,5.44266666666667,97.1875,0.1,1936.391438375,20591653.9375,6.45625,6.3125,0.5855,10.2875,0.62,Developing
114,Mozambique,53.39375,226.25,74.5625,1.266,37.0341515221875,67.8666666666667,4735,16.14375,107.25,69,5.97266666666667,64.0625,11.3875,365.06823808125,11729745.9375,3.80625,3.71875,0.3608125,7.9875,0.81,Developing
115,Myanmar,64.2,154.3125,56.625,0.351333333333333,12.82456363525,65.4615384615385,914.5,17.125,76.9375,70.6875,2.01266666666667,72.375,0.475,616.18435734375,26015702,13.13125,13.425,0.48825,8.325,3.92,Developing
116,Namibia,60.4,313.1875,2.875,4.71066666666667,359.930079416937,86.3333333333333,722.0625,28.225,3.8125,78.5,7.39866666666667,83.5,13.64375,3042.603507,1025527.125,10.7,10.70625,0.5883125,11.55,1.74,Developing
118,Nepal,66.48125,147.25,29.125,0.19,40.1620642759375,65.3846153846154,4663.5625,15.175,38.125,69.125,5.88933333333333,73.6875,0.15625,395.32846794375,14633755.5625,17.13125,17.66875,0.494375,10.43125,2.1,Developing
119,Netherlands,81.13125,61.625,1,8.84666666666667,3805.68704771875,48.2,251.9375,53.96875,1,96.8125,7.14133333333333,96.8125,0.1,34964.719796875,9775704.375,1.025,0.9625,0.89975,17.05625,1.57,Developed
120,New Zealand,81.3375,71.5,0,9.16625,2922.14777979187,70.1875,94.9375,56.625,0,89.125,8.876,70.625,0.1,14775.554806875,,0.3125,0.3,0.8911875,18.86875,0.11,Developed
121,Nicaragua,73.45,162.375,3.0625,3.59666666666667,183.662907648813,91.875,0,42.68125,3.6875,88.1875,6.73066666666667,91.875,0.225,957.9039710625,1999846.9375,1.96875,1.875,0.6035,11.1125,0.25,Developing
122,Niger,56.98125,232.4375,52.8125,0.091333333333333,19.099368610625,60.5714285714286,15467.125,16.3625,105.6875,52.9375,6.57733333333333,52.3125,1.1625,259.782440975,11240718.9375,9.025,8.9125,0.298125,4.01875,0.18,Developing
123,Nigeria,51.35625,248.5,535.6875,8.64666666666667,85.4442753329375,42.9090909090909,51653.9375,19.75,852.0625,41.3125,3.71066666666667,39.3125,4.83125,1360.13987746875,70877003.0625,10.41875,10.36875,0.367375,9,3.4,Developing
125,Norway,81.79375,66.25,0,6.234375,4658.81391809375,,6.3125,50.8125,0,93.0625,9.086,87.9375,0.1,27434.946928125,2614432.3125,0.7625,0.7,0.9314375,17.46875,3.24,Developed
126,Oman,74.84375,67.75,1,0.534666666666667,387.410820335625,98.8125,10.875,44.78125,1,98.5,2.87666666666667,98.75,0.1,7621.311126875,,7.025,6.825,0.7155,12.225,0.3,Developing
127,Pakistan,64.5,154,367.9375,0.026,26.1203906045625,67.3076923076923,3842.3125,18.3125,461,64.1875,2.904,70.875,0.1,666.11105159375,69027961.8125,15.0875,15.5125,0.500875,6.71875,1,Developing
129,Panama,76.4875,115.875,1.125,6.212,569.971616201938,78.6666666666667,0.25,49.3125,1.6875,84.6875,7.722,80,0.125,5417.76889025,1955021.875,2.08125,2.01875,0.74825,12.775,1.7,Developing
130,Papua New Guinea,61.68125,266.5625,10.625,0.580666666666667,75.370481651875,57,2349.875,40.7875,13.75,62.5625,5.46266666666667,68.375,1.16875,758.097616346667,4813446,1.40625,1.3625,0.4661875,8.54375,0.1,Developing
131,Paraguay,73.1125,139.9375,3.1875,5.52733333333333,229.790694404375,82.1538461538462,0,39.525,3.6875,77.9375,6.77866666666667,89.625,0.1375,1983.4043354375,3299080.625,2.2,2.11875,0.6561875,12.16875,1.43,Developing
132,Peru,73.6625,122.4375,11.8125,4.27866666666667,417.078699565,83.6923076923077,0.375,44.86875,15.125,82.8125,4.92666666666667,81,0.29375,2928.543541625,16854321.6875,1.21875,1.21875,0.70325,13.30625,0.13,Developing
133,Philippines,67.575,217.9375,61.1875,4.51066666666667,89.55657082675,62.125,7144.6875,19.1875,78.8125,78.1875,3.90533333333333,79.125,0.1,1397.1361066875,37265400.3125,1,9.69375,0.6504375,11.54375,0.39,Developing
134,Poland,75.65,107.5625,2.25,9.99866666666667,310.682268485,97.375,47.4375,53.73125,2.6875,96.75,6.37933333333333,98.75,0.1,6792.5636004375,16053249.625,2.20625,2.3625,0.8131875,15.25,0.21,Developed
135,Portugal,79.99375,58.875,0.1875,12.2113333333333,1614.89704591875,87.625,7.25,43.63125,0.375,96.5,7.95266666666667,97,0.1,11598.62553125,1032225.375,0.71875,0.5375,0.805,15.9375,0.44,Developed
136,Qatar,77.03125,75.375,0,1.08133333333333,2466.8550051575,95.0625,96.25,65.65,0,95.875,2.60133333333333,89.6875,0.1,40748.444104375,,4.95625,4.5875,0.828375,12.85,0.23,Developing
137,Republic of Korea,80.4875,76.1875,2.125,8.85533333333333,0,95.125,3548.4375,23.24375,2.5625,91.25,5.912,96.0625,0.1,,,1.5375,1.01875,,,0.34,Developing
138,Republic of Moldova,69.98125,210.3125,1,9.54533333333333,0,95,390.875,43.90625,1.0625,94.9375,6.95666666666667,72.8125,0.1,,,3.025,3.2,,,0.26,Developing
139,Romania,74.05,156.0625,2.8125,8.96866666666667,426.536634242625,91.8125,1365.6875,52.25,3.25,94.75,5.278,95,0.1,4258.9400543125,9206345.625,3.16875,3.50625,0.762625,13.925,7.14,Developed
140,Russian Federation,67.7625,224.5625,16.6875,11.128,326.084075064875,92.3333333333333,1616.4375,53.31875,19.3125,97.5625,6.22333333333333,97.125,0.2625,6545.137359,59762085.625,2.44375,2.60625,0.7621875,13.74375,1.97,Developing
141,Rwanda,59.3125,246.8125,20.75,5.636,20.1913534375,96,505.875,14.75,32.0625,88.5,6.35066666666667,89.375,4.425,300.01801709375,3735506.5625,6.63125,6.65625,0.4176875,9.2875,4.52,Developing
143,Saint Lucia,73.6,146.25,0,11.5113333333333,0,89.2857142857143,0,39.59375,0,84.875,6.92266666666667,83.8125,0.15,,,4.35,4.38125,0.66475,12.70625,1.98,Developing
144,Saint Vincent and the Grenadines,73.475,152.0625,0,6.11,0,93,0,41.99375,0,97.875,4.816,98.3125,0.28125,,,3.6625,3.6125,0.65725,13.18125,0.16,Developing
145,Samoa,73.61875,133.5625,0,2.704,254.597017984375,54.9375,0.5625,62.90625,0,57.25,5.32533333333333,62.9375,0.1,2121.6206485,131440.125,0.2,0.16875,0.6784375,12.64375,0.007,Developing
147,Sao Tome and Principe,65.1625,164.9375,0,4.19133333333333,52.3150942088125,83.3076923076923,0,20.85,0,90.5625,6.586,95.125,0.96875,771.034834253333,108853.9375,6.6375,6.55625,0.52825,10.25625,0.48,Developing
148,Saudi Arabia,73.46875,52.125,8.625,0.074666666666667,838.506400329375,96.8125,759.3125,55.3125,10,96.8125,3.92466666666667,96.875,0.1,10689.0529458125,,7.35625,7.36875,0.782625,13.2875,0.72,Developing
149,Senegal,62.56875,174.1875,22.3125,0.309333333333333,21.4864262246875,86.4166666666667,3248.75,18.44375,36.625,75.4375,4.938,78.3125,0.53125,274.61116614375,5413842.6875,8.09375,7.9875,0.4325625,7.125,0.9,Developing
150,Serbia,73.95625,130.4375,1,8.68266666666667,464.744738045687,90.75,73.8125,52.1375,1.0625,94.625,6.19866666666667,93.3125,0.1,3674.5424077625,3608279.875,2.39375,2.425,0.7416875,13.53125,2.26,Developing
151,Seychelles,72.375,161.1875,0,6.20133333333333,466.8304218925,98.6875,0.6875,28.40625,0,98.5,3.802,98.5,0.1,6496.3023970625,61543.8125,5.90625,6.3,0.6908125,12.90625,0.37,Developing
152,Sierra Leone,46.1125,357.8125,27.5625,3.15466666666667,29.1055785935625,83.4444444444445,673.875,18.30625,41.875,71.75,9.218,72.125,1.51875,271.50556128125,3336264.5625,7.68125,7.1,0.3618125,8.23125,0.54,Developing
153,Singapore,81.475,62,0,1.7625,2332.57175895,95.875,85.75,25.90625,0,96.125,3.688,96.1875,0.1,32790.105906875,,2.125,2.06875,0.866875,13.98125,3.09,Developed
154,Slovakia,74.75,118.0625,0,10.4733333333333,0,98.5625,0.25,51.81875,0.125,98.4375,7.376,98.625,0.1,,,1.34375,1.425,0.8033125,14.35,0.065,Developed
155,Slovenia,79.73125,76.4375,0,10.7546666666667,1556.33454500875,,6.0625,52.2,0,95.1875,8.85533333333333,95,0.1,11441.0443775,401279.0625,1.76875,1.79375,0.8604375,16.475,0.56,Developed
156,Solomon Islands,67.7125,140.0625,0,0.800666666666666,112.027415570563,78.625,0,39.175,0,87.75,6.26733333333333,75.375,0.1,801.912383175,329044.1875,1.24375,1.2625,0.48025,8.6375,0.4,Developing
157,Somalia,53.31875,316.75,49.875,0.01,0,42,5494.0625,18.6875,80.5625,29.8125,,29.3125,0.8375,297.473345133333,,7.26875,7.08125,,,1.93,Developing
158,South Africa,57.5,412.75,48.6875,7.58866666666667,616.359643518125,66.5,1506,38.15,69.8125,65.3125,8.306,70.1875,18.49375,4869.4270436875,29213839.465,9.175,11.075,0.6290625,12.89375,4.77,Developing
159,South Sudan,53.875,346.3125,27.75,,8.2410769375,31,315.75,,43.25,44,2.71,47,3.69375,1092.233630625,3750827.125,,,0.1316875,1.53125,1.89,Developing
160,Spain,82.06875,63.625,1.625,10.024,2332.68018388437,92.5,449.875,58.66875,1.875,96.75,8.53666666666667,96.75,0.1,17093.459736875,26542854.125,0.6,0.5,0.8505625,16.35625,2.03,Developed
161,Sri Lanka,73.4,144.375,4,2.096,59.75360089375,90.6153846153846,1420.4375,17.275,4.75,98.375,3.77133333333333,98.4375,0.1,1040.110189675,10844.8125,15.325,15.36875,0.7251875,13.21875,0.34,Developing
162,Sudan,61.825,240.3125,64.625,1.458,97.69844266625,72.3636363636364,3108,,96.625,72.25,5.69533333333334,72.375,0.25,1192.79795343125,18046515.125,,,0.441,6.375,0.48,Developing
163,Suriname,70.08125,166,0,4.984,508.494032814375,85.2727272727273,0,50.15625,0,78.25,6.66266666666667,82.5625,0.7625,4781.2168219375,190916.625,3.5125,3.45625,0.4810625,11.825,2.21,Developing
164,Swaziland,51.325,339,2.625,4.46333333333333,278.0997131315,76,49.125,25.5,3.6875,89,7.30866666666667,83.75,32.94375,2165.0908375,457303.0625,6.475,6.63125,0.5156875,10.35,0.28,Developing
165,Sweden,82.51875,59.1875,0,6.92666666666667,4438.16315355,59.2,18.9375,56.25,0,98.3125,9.93266666666667,98.3125,0.1,29334.990639375,5514868.3125,1.35,1.30625,0.893125,15.86875,0.18,Developed
166,Switzerland,82.33125,55.75,0,10.338,9801.81037748125,,397.5,51.4375,0,95.375,6.08733333333333,94.5625,0.1,57362.87460125,5913241.8125,0.5375,0.39375,0.9110625,15.39375,0.25,Developed
167,Syrian Arab Republic,70.85,139.625,8,0.804666666666667,39.2994856325,64.125,295.6875,47.3125,9.5625,64.8125,3.94666666666667,48.4375,0.1,1087.435773875,6741444.8125,6.45,6.25625,0.6180625,10.98125,0.69,Developing
168,Tajikistan,66.65625,177.5625,10.6875,0.330666666666667,17.2771924581875,84.4285714285714,208.1875,33.1125,12.75,88.3125,5.648,89.25,0.25625,335.84172523125,4751355,3.80625,3.85,0.5838125,10.68125,0.43,Developing
169,Thailand,73.08125,160.375,12.125,6.13133333333333,401.2599634,97,4311.9375,21.59375,14.125,98.3125,3.75733333333333,98.1875,0.3875,3494.781701625,31170509.5,8.54375,8.7,0.6946875,12.55,0.18,Developing
170,The former Yugoslav republic of Macedonia,74.1125,60.8125,0,1.85866666666667,0,83.5454545454546,74.75,52.90625,0,95.5,7.536,94.875,0.1,,,2.43125,2.45625,0.45575,12.38125,0.55,Developing
171,Timor-Leste,64.75625,170.375,2.375,0.235333333333333,21.1875232745,76,85.0625,14.55,3,63.2142857142857,1.64666666666667,64.2142857142857,0.1,551.7106493125,460195.625,10.525,11.69375,0.517625,10.7,0.41,Developing
172,Togo,56.6625,311.3125,14.1875,0.947333333333333,23.705604090625,76.625,532.5,17.99375,21.4375,67.1875,5.24333333333333,74.3125,3.8625,317.20409206875,3722045.5625,7.86875,7.7375,0.4459375,10.65,2.2,Developing
173,Tonga,72.53125,129.625,0,1.16733333333333,323.809342928187,75.5,0.25,62.94375,0,76.875,5.206,70.3125,0.1,1981.5551861875,26589.8125,0.1,0.1,0.6988125,14.21875,1.41,Developing
174,Trinidad and Tobago,71.06875,163.375,0,6.04466666666667,559.314872033125,54.9285714285714,0,37.73125,0.25,76.4375,5.19933333333333,66.5,0.625,7741.7480900625,776133.125,6.1375,6.50625,0.753375,12.33125,0.12,Developing
175,Tunisia,74.35625,18.75,3.25,1.31066666666667,366.74126047625,96.75,33.1875,48.25625,3.6875,97.6875,6.05266666666667,97.6875,0.1,3044.081488375,3274493.1875,6.40625,6.3375,0.692625,14.05625,0.68,Developing
176,Turkey,73.9125,98.375,26.9375,1.42133333333333,253.417177534063,87.0625,5272.9375,56.4125,32.25,80.8125,5.618,80.75,0.1,3983.91772175,33501352.8125,5.0125,4.85,0.7033125,12.675,0.45,Developing
177,Turkmenistan,64.61875,214.8125,6.5625,2.65466666666667,187.781987555063,97.2857142857143,15.125,38.11875,8.0625,95.5625,2.82866666666667,96.375,0.1,2511.6115398625,2635550.1875,3.3375,3.3625,0.211625,9.83125,0.69,Developing
179,Uganda,55.70625,300.1875,89.6875,8.05066666666667,47.6921083495625,63.4285714285714,12394.625,15.525,138.875,65.4375,8.542,64.875,7.65,421.04849634375,15540587.125,6.2625,6.25625,0.4453125,10.59375,1.94,Developing
180,Ukraine,69.9375,205.75,5.0625,7.36933333333333,169.427330176937,54.625,5395.1875,50.89375,5.9375,81.4375,6.77733333333333,70,0.5375,1577.293328625,10004933.25,2.575,2.675,0.7165625,14.60625,2.31,Developing
181,United Arab Emirates,75.7,67.0625,1,1.75,1886.73158978125,93.875,75.625,53.80625,1,95.0625,3.03666666666667,94.625,0.1,22110.36698625,,5.18125,4.96875,0.8195625,12.8125,0.39,Developing
182,United Kingdom of Great Britain and Northern Ireland,80.79375,70.375,3.625,11.13125,0,,715.75,55.3875,4.0625,92.875,8.534,92.875,0.1,,,0.75,0.50625,,,0.34,Developed
183,United Republic of Tanzania,56.00625,304.4375,95.25,3.58266666666667,0,73.5,3348.5625,17.31875,143.1875,83.375,4.70133333333333,74.6875,7.275,,,7.425,7.35625,,,2.21,Developing
184,United States of America,78.0625,58.1875,26.1875,8.57933333333333,0,81.375,130.625,58.45,30.75,82.125,15.8633333333333,95.125,0.1,,,0.73125,0.60625,,,0.43,Developed
185,Uruguay,76.075,119.9375,0.5625,6.17266666666667,621.8389194,94.3125,0,52.925,0.75,94.25,8.75,89.125,0.1,7192.5848745,2396771.125,1.6,1.54375,0.765625,15.23125,0.48,Developing
186,Uzbekistan,68.03125,184.8125,21.9375,1.60866666666667,44.3734502649375,95.6428571428571,208.4375,34.80625,25.6875,98.5625,5.638,98.4375,0.20625,651.09235893125,903631.6875,3.14375,3.175,0.603,11.64375,0.93,Developing
187,Vanuatu,71.3875,137.875,0,0.806666666666666,282.32574587,56.125,20.875,44.25625,0,66.1875,3.92866666666667,59.0625,0.1,2000.245518125,123096.1875,1.56875,1.49375,0.3675,10.56875,0.75,Developing
188,Venezuela (Bolivarian Republic of),73.3875,163,9.375,7.42,0,66.25,165,54.4875,10.75,74.6875,4.99866666666667,68.5,0.1,,,1.65,1.5625,0.7268125,12.7875,0.23,Developing
189,Viet Nam,74.775,126.5625,29.1875,3.08733333333333,0,87.5384615384615,4232.9375,11.1875,36.5,94.9375,5.97733333333333,91.75,0.14375,,,14.925,15.625,0.6270625,11.5125,0.91,Developing
190,Yemen,63.8625,211.8125,39.375,0.047333333333333,0,55.6875,2761.1875,33.4875,51.625,67.125,5.00533333333333,72.625,0.1,,,13.83125,13.75,0.4755,8.50625,2.31,Developing
191,Zambia,53.90625,354.3125,33.4375,2.23933333333333,89.650406851125,69.8181818181818,6563.8125,17.45,52.375,64.375,5.824,74.25,11.93125,811.81184051875,6260246.4375,6.88125,6.7625,0.4984375,11.2125,2.91,Developing
192,Zimbabwe,50.4875,462.375,26.5625,4.482,20.364271458875,70.5625,923,25.1375,40.8125,75.625,6.15866666666667,75.1875,23.2625,410.98019376875,8021343.0625,7.0125,6.9875,0.439125,9.825,4.26,Developing
